date,portfolio_value
20200123,861974.8641242968
20200228,2166246.755685723
20200331,1888374.8158766967
20200430,1586581.7666526914
20200529,1486337.3102419083
20200630,1894422.1486451766
20200731,3904468.4414250758
20200831,3783775.807437695
20200930,3305995.418444797
20201030,3202644.1732081445
20201130,4317145.411100541
20201231,6021876.446630615
20210129,5762595.937217131
20210226,6815760.977781748
20210331,7387507.053390268
20210430,7539284.443957227
20210531,7845618.7487343885
20210630,8289545.430923133
20210730,9772585.278858129
20210831,9311566.437976554
20210930,9596267.61378791
20211029,9337175.868691713
20211130,9510284.03918748
20211231,9754880.281180872
20220128,8111610.630337057
20220228,8659786.948674997
20220331,8140381.478031583
20220429,6478834.430810612
20220531,6871925.396873525
20220630,7194385.083331854
20220729,7350945.565390337
20220831,7914109.098394788
20220930,6924485.197812074
20221031,7639209.148901932
20221130,8599297.353521928
20221230,7905322.196193783
20230131,8052162.168819405
20230228,8052902.909343617
20230331,7683871.430195822
20230428,7415579.624521297
20230531,7025718.206558709
20230630,8222710.25146997
20230731,7599887.373505607
20230831,7769489.528188961
20230928,7209996.729841628
20231031,7091504.460576873
20231130,7819276.958063762
20231229,8140140.363162794
20240131,6054975.614645198
20240229,7217494.959544698
20240329,7836061.451024028
20240430,7952315.80240485
20240531,8044566.424993808
20240628,7722149.268339998
20240731,10450011.436503155
20240830,10251160.52936809
20240930,13375404.11870854
20241031,16966040.81455289
20241129,15329973.131330388
20241231,11230018.820938468
20250127,11751844.338137213
20250228,12797968.888688667
20250331,13146977.621769462
20250430,11001903.304136489
20250530,11916657.530649824
20250630,11570075.68000994
20250731,11003272.83073993
20250829,11535858.281237094
20250930,10244923.624295702
20251031,11059180.435966685
20251128,11152804.742665358
20251231,11043318.564474098
20260130,7861913.497779291
20260227,7980761.286780085
20260313,8156079.999537682
