date,portfolio_value
20200123,937223.4616619421
20200228,1331299.217401028
20200331,1089271.3703906552
20200731,1070620.3283883359
20200831,989402.8817283976
20200930,875580.8158049225
20201030,831750.8355444456
20201130,977625.2447162931
20201231,975275.7664295825
20210129,1054320.0455025737
20210226,985633.8934453176
20210331,855798.7504675398
20210531,797747.894661017
20210630,722866.47751626
20210730,688472.959103521
20210831,718542.8043556173
20210930,641435.0323692502
20211029,582054.0073042084
20211130,583983.7602755314
20211231,505394.2774663266
20220128,419042.19720782724
20220228,399615.93554316944
20220331,366110.42285377963
20220429,377282.50844730256
20220531,369707.35723450687
20220729,329038.33991688763
20221031,240084.79679592542
20221230,236338.96259728193
20230228,231980.97282264676
20230428,211499.04477984933
20230531,183554.51193753871
20230630,158107.47544795732
20230831,142414.03765411227
20231130,143318.1199555219
20231229,141987.3827297504
20240131,134783.18852021397
20240329,126982.75176705208
20240430,117628.34944248408
20240531,112004.64091714773
20240628,112798.55320087638
20241031,105597.99360214281
20241129,91489.06429614568
20241231,92025.22134634914
20250127,90772.24529459537
20250228,92919.93375666554
20250331,82296.19963097513
20250430,78820.07945738571
20250530,71527.16826326487
20250630,72780.19894816879
20250731,88173.16616317192
20250829,110016.66956311178
20250930,120176.15018161766
20251031,109147.49547302269
20251128,108747.81442832734
20251231,114864.06686433835
20260130,133225.8813869512
20260227,146972.45828750296
20260313,148766.14463541238
